日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交量,成交金额
2018-07-05,'000016,上证50,2374.3553,2398.5647,2352.9749,2370.8634,25268639,31987649266.0
2018-07-04,'000016,上证50,2368.4251,2403.5109,2365.8939,2381.2531,19664477,25915678562.0
2018-07-03,'000016,上证50,2388.9763,2395.0801,2331.8404,2389.3604,29074680,41734889556.0
2018-07-02,'000016,上证50,2386.3765,2473.7343,2370.3999,2473.3116,26108151,34815664914.0
2018-06-29,'000016,上证50,2479.9115,2481.3228,2429.5937,2431.8087,20762653,28882933472.0
2018-06-28,'000016,上证50,2425.1758,2461.1738,2418.295,2431.8604,22856049,33377733487.0
2018-06-27,'000016,上证50,2452.6386,2512.5855,2438.0431,2500.0663,27426919,38191024071.0
2018-06-26,'000016,上证50,2506.7166,2519.1612,2470.1462,2516.0829,26450100,36753950477.0
2018-06-25,'000016,上证50,2536.4599,2595.9885,2535.1222,2593.6247,23443084,34770055543.0
2018-06-22,'000016,上证50,2583.708,2586.3338,2553.2993,2564.8679,19658834,27587280770.0
2018-06-21,'000016,上证50,2579.0517,2628.0383,2575.1735,2597.3032,24632386,37656267118.0
2018-06-20,'000016,上证50,2598.328,2607.4674,2567.4983,2588.1187,23830855,37407473004.0
2018-06-19,'000016,上证50,2599.7801,2646.6398,2571.6922,2638.3951,57574355,78041470955.0
2018-06-15,'000016,上证50,2667.9751,2677.3105,2657.506,2657.5896,25618389,36641713691.0
2018-06-14,'000016,上证50,2671.2975,2691.0449,2659.5741,2662.2343,21356957,36200038471.0
2018-06-13,'000016,上证50,2671.6265,2686.0677,2662.7477,2681.3132,19387165,31276410277.0
2018-06-12,'000016,上证50,2687.7018,2691.9664,2650.9744,2662.3871,19643008,37585972996.0
2018-06-11,'000016,上证50,2660.4084,2665.9317,2633.082,2644.4271,19775018,34247914460.0
2018-06-08,'000016,上证50,2652.0823,2686.1535,2637.3625,2686.0929,26031212,34396136010.0
2018-06-07,'000016,上证50,2695.2374,2717.0637,2693.1048,2697.5121,23511030,37061172274.0
2018-06-06,'000016,上证50,2692.1807,2703.4144,2688.3289,2702.7119,20523118,32474828529.0
2018-06-05,'000016,上证50,2707.0168,2712.1161,2680.2417,2697.6934,22214405,39274706066.0
2018-06-04,'000016,上证50,2694.577,2697.7518,2658.5681,2664.845,22546288,34965207424.0
2018-06-01,'000016,上证50,2647.1867,2664.3107,2637.3739,2652.2511,20387624,27262324847.0
2018-05-31,'000016,上证50,2658.2917,2661.6567,2624.6717,2626.9376,26506810,40160427279.0
2018-05-30,'000016,上证50,2605.9005,2637.1916,2604.9059,2632.7129,24208986,31639051769.0
2018-05-29,'000016,上证50,2663.4034,2676.6828,2642.8669,2666.8301,26895624,34869490393.0
2018-05-28,'000016,上证50,2673.1985,2682.7805,2650.398,2661.2082,18533039,25502551443.0
2018-05-25,'000016,上证50,2661.2911,2679.8487,2650.3387,2663.3212,19942205,22816577239.0
2018-05-24,'000016,上证50,2665.6758,2691.0337,2664.1226,2684.1321,19732689,23694518902.0
2018-05-23,'000016,上证50,2683.6934,2721.0206,2683.5856,2721.0206,25426594,31024068020.0
2018-05-22,'000016,上证50,2728.0004,2744.3238,2711.0597,2744.3238,23340295,27343649959.0
2018-05-21,'000016,上证50,2745.8041,2761.7225,2739.6817,2753.8794,27766582,34138508286.0
2018-05-18,'000016,上证50,2740.5347,2741.014,2690.9915,2697.7172,22927267,28871526639.0
2018-05-17,'000016,上证50,2700.8768,2724.39,2698.1711,2720.7715,16746907,22819122418.0
2018-05-16,'000016,上证50,2716.7818,2744.6179,2714.2644,2739.8948,21808679,29565944252.0
2018-05-15,'000016,上证50,2750.8309,2760.5682,2731.5668,2760.1979,22526422,29285882544.0
2018-05-14,'000016,上证50,2753.5353,2761.4948,2736.0351,2736.9752,27061501,36510022488.0
2018-05-11,'000016,上证50,2724.7162,2738.6456,2720.5471,2737.2278,23488885,28916753234.0
2018-05-10,'000016,上证50,2729.4001,2738.6293,2712.4744,2727.5158,19609175,26915822603.0
2018-05-09,'000016,上证50,2717.2393,2725.1955,2706.4814,2723.0859,20264916,26836482892.0
2018-05-08,'000016,上证50,2722.88,2736.7572,2682.7941,2683.841,31644364,45366811968.0
2018-05-07,'000016,上证50,2683.8487,2686.221,2638.1682,2649.0997,26608010,39387560480.0
2018-05-04,'000016,上证50,2646.3548,2669.6982,2643.2567,2659.2724,20761663,27084460654.0
2018-05-03,'000016,上证50,2663.9752,2671.2449,2626.5404,2643.9661,26222350,34759395616.0
2018-05-02,'000016,上证50,2652.7311,2667.9624,2637.0612,2662.0787,26659402,36833147151.0
2018-04-27,'000016,上证50,2653.5436,2675.0958,2613.5267,2672.6362,28375248,50547114328.0
2018-04-26,'000016,上证50,2666.0239,2717.5693,2652.4225,2712.517,23533135,30650849167.0
2018-04-25,'000016,上证50,2702.9802,2717.3144,2696.2223,2707.7101,23501293,27772719983.0
2018-04-24,'000016,上证50,2722.8474,2737.2062,2669.6103,2669.6103,39445289,47857182807.0
2018-04-23,'000016,上证50,2664.9175,2671.0096,2636.6773,2637.071,25321251,29520126739.0
2018-04-20,'000016,上证50,2647.3763,2677.9209,2632.7466,2672.3583,28139647,34288995784.0
2018-04-19,'000016,上证50,2682.5518,2693.1359,2656.1487,2661.3006,26025677,34609094804.0
2018-04-18,'000016,上证50,2653.7691,2668.7892,2623.9744,2666.6167,31549903,40117474816.0
2018-04-17,'000016,上证50,2635.7032,2683.4957,2633.5923,2669.2648,27139751,34686808558.0
2018-04-16,'000016,上证50,2664.7045,2723.5796,2656.52,2716.5786,36748757,42548544190.0
2018-04-13,'000016,上证50,2726.3956,2771.0319,2724.1662,2765.6697,21750014,26441150858.0
2018-04-12,'000016,上证50,2749.6986,2785.3072,2747.772,2785.1209,26112148,32674719394.0
2018-04-11,'000016,上证50,2785.3386,2803.8806,2767.3767,2782.6714,38988811,45163364683.0
2018-04-10,'000016,上证50,2780.8036,2781.2685,2710.8682,2719.517,38082535,46905059931.0
2018-04-09,'000016,上证50,2715.7318,2721.5909,2688.8314,2706.3294,26293549,35014124147.0
2018-04-04,'000016,上证50,2702.3692,2730.2484,2698.8863,2706.4205,26732258,37548671722.0
2018-04-03,'000016,上证50,2697.272,2709.9075,2683.048,2690.6325,28628162,36026223651.0
2018-04-02,'000016,上证50,2711.3735,2754.6509,2707.6327,2717.1183,34698719,43302463214.0
2018-03-30,'000016,上证50,2722.153,2740.8194,2714.7667,2735.6242,31681918,39358358981.0
2018-03-29,'000016,上证50,2738.7906,2757.7792,2657.492,2699.1359,42353919,57630689830.0
2018-03-28,'000016,上证50,2694.8259,2746.8803,2687.9567,2714.8736,34583486,50997098740.0
2018-03-27,'000016,上证50,2747.5872,2780.8388,2726.3603,2775.6346,39211664,49589358458.0
2018-03-26,'000016,上证50,2738.868,2773.5378,2709.568,2767.3635,42742210,56021077844.0
2018-03-23,'000016,上证50,2791.4674,2800.2467,2754.6598,2786.531,62623251,74872353298.0
2018-03-22,'000016,上证50,2866.6702,2902.7671,2851.294,2894.1292,30505808,42875777208.0
2018-03-21,'000016,上证50,2894.1835,2932.2176,2879.5251,2928.9996,33388762,47299461831.0
2018-03-20,'000016,上证50,2904.3972,2907.5229,2877.0999,2878.9533,27129403,33929944349.0
2018-03-19,'000016,上证50,2897.2558,2898.2345,2856.171,2870.3649,26042930,37418712946.0
2018-03-16,'000016,上证50,2870.7318,2911.1939,2869.9671,2895.5064,27192101,36436840718.0
2018-03-15,'000016,上证50,2894.9828,2895.6118,2860.4136,2860.4136,26260075,35212947634.0
2018-03-14,'000016,上证50,2871.334,2879.5374,2860.9695,2871.7227,30886301,36928754270.0
2018-03-13,'000016,上证50,2883.3771,2921.3074,2878.2003,2909.2478,40607603,44383331438.0
2018-03-12,'000016,上证50,2909.5793,2927.5081,2897.2355,2922.6177,44985076,54236062326.0
2018-03-09,'000016,上证50,2908.1974,2916.5531,2891.8682,2907.0416,31504490,39303801991.0
2018-03-08,'000016,上证50,2898.2542,2903.0532,2865.5516,2878.8198,28963037,37537677980.0
2018-03-07,'000016,上证50,2878.1506,2921.4421,2868.0359,2892.442,37917658,45394077229.0
2018-03-06,'000016,上证50,2892.4752,2893.462,2838.6092,2878.9177,47593576,53720112308.0
2018-03-05,'000016,上证50,2863.9909,2889.7377,2846.9319,2865.2016,29967149,36066405586.0
2018-03-02,'000016,上证50,2864.1834,2887.893,2852.0115,2864.1751,29864517,36583775828.0
2018-03-01,'000016,上证50,2891.2982,2907.2684,2852.4923,2859.09,32284888,40076068744.0
2018-02-28,'000016,上证50,2878.6666,2905.5729,2866.4622,2899.0023,38758134,47725005592.0
2018-02-27,'000016,上证50,2927.0968,2979.768,2918.007,2979.768,46201435,54502425839.0
2018-02-26,'000016,上证50,2973.7855,2986.813,2933.5161,2973.8138,50214027,58593508704.0
2018-02-23,'000016,上证50,2957.171,2966.7522,2926.3629,2941.4214,38207489,45850903406.0
2018-02-22,'000016,上证50,2931.8815,2936.8458,2900.8733,2915.9685,39297753,49214807418.0
2018-02-14,'000016,上证50,2871.7873,2877.0369,2841.2391,2859.8663,25349814,31690057642.0
2018-02-13,'000016,上证50,2852.7169,2887.893,2834.3901,2834.3901,46622211,56890392995.0
2018-02-12,'000016,上证50,2805.211,2823.8067,2776.9576,2803.8592,46290004,56121422794.0
2018-02-09,'000016,上证50,2810.0273,2871.5441,2724.5915,2857.4334,91925899,1.1122259735e+11
2018-02-08,'000016,上证50,2945.8438,3019.2746,2911.403,2998.603,73117846,89454605332.0
2018-02-07,'000016,上证50,3029.6011,3166.6982,3020.3926,3147.323,94700492,1.19171431798e+11
2018-02-06,'000016,上证50,3117.4905,3140.0317,3094.4926,3114.3466,98646622,1.27406400502e+11
2018-02-05,'000016,上证50,3181.3393,3181.5942,3095.9874,3098.6722,71607348,91528595257.0
2018-02-02,'000016,上证50,3149.6414,3150.697,3082.9941,3113.2991,52901436,72098054089.0
2018-02-01,'000016,上证50,3141.23,3141.7685,3101.3386,3120.1331,72193287,92604918753.0
2018-01-31,'000016,上证50,3116.8331,3118.7622,3062.5284,3063.2335,55607397,72990261128.0
2018-01-30,'000016,上证50,3079.1178,3127.7506,3077.314,3109.1853,54275944,69473844578.0
2018-01-29,'000016,上证50,3120.6951,3197.8398,3107.9564,3184.298,72920214,96641913863.0
2018-01-26,'000016,上证50,3172.7776,3195.072,3147.4779,3147.4779,82164637,94465283690.0
2018-01-25,'000016,上证50,3157.4592,3177.4071,3124.4555,3171.3495,77363976,97574390990.0
2018-01-24,'000016,上证50,3180.3318,3202.4699,3150.5532,3189.7683,99130667,1.25182317027e+11
2018-01-23,'000016,上证50,3176.5042,3177.7627,3144.2813,3145.1079,101691899,1.20507375577e+11
2018-01-22,'000016,上证50,3130.3299,3144.8513,3104.4049,3104.9585,77465852,96853995904.0
2018-01-19,'000016,上证50,3117.8212,3145.9935,3100.4066,3122.672,94955302,1.17995222318e+11
2018-01-18,'000016,上证50,3106.5516,3125.8631,3084.2792,3096.2011,87706926,1.11974246516e+11
2018-01-17,'000016,上证50,3076.1819,3132.9929,3060.2185,3071.499,91066330,1.19155711644e+11
2018-01-16,'000016,上证50,3063.8609,3065.1869,3035.7676,3041.3642,64262468,87195144294.0
2018-01-15,'000016,上证50,3048.8075,3070.9386,3022.4724,3027.2028,64988821,89764581677.0
2018-01-12,'000016,上证50,3018.5957,3019.702,2993.5648,2997.9008,38168296,55328487662.0
2018-01-11,'000016,上证50,2997.0448,3009.992,2981.3345,2986.7923,42351821,56280148974.0
2018-01-10,'000016,上证50,2995.5641,2999.7483,2966.1807,2968.3436,57763850,72207517696.0
2018-01-09,'000016,上证50,2969.3175,2972.4254,2947.1159,2947.5496,40589034,60495808429.0
2018-01-08,'000016,上证50,2947.7613,2952.344,2926.8709,2933.8245,58052793,82070565457.0
2018-01-05,'000016,上证50,2932.3558,2940.1799,2920.0843,2926.7782,49943348,62492266389.0
2018-01-04,'000016,上证50,2919.4787,2934.1518,2910.6624,2918.2559,43520711,59071711306.0
2018-01-03,'000016,上证50,2913.2596,2947.6307,2906.5984,2914.2787,48206865,69339662348.0
2018-01-02,'000016,上证50,2908.7318,2912.2694,2867.5282,2867.5282,54008668,63411514961.0
2017-12-29,'000016,上证50,2860.4363,2876.1918,2849.6787,2861.919,28631400,40451478933.0
2017-12-28,'000016,上证50,2859.0537,2870.8941,2829.542,2842.7313,34351482,51738560594.0
2017-12-27,'000016,上证50,2839.6346,2889.3088,2832.0229,2886.7003,32138676,45980785891.0
2017-12-26,'000016,上证50,2894.3358,2897.6178,2868.6044,2878.7538,27001023,37479220536.0
2017-12-25,'000016,上证50,2880.0968,2915.6089,2868.8613,2882.2781,26314099,39860539032.0
2017-12-22,'000016,上证50,2880.7725,2897.0338,2876.0165,2891.7213,18956880,27835325512.0
2017-12-21,'000016,上证50,2895.3659,2906.8072,2862.2294,2871.6834,25781561,38962108359.0
