date[2002-12-13] buy[110300] price[9.06] cash[382.2046] value[999700.2046]
date[2002-12-16] sell[110300] price[9.12] cash[1005010.4878] benerfit[5010.4878]
date[2002-12-17] buy[108400] price[9.26] cash[925.3526] value[1004709.3526]
date[2002-12-18] sell[108400] price[9.12] cash[988248.1622] benerfit[-16762.3256]
date[2002-12-20] buy[106300] price[9.29] cash[424.9041] value[987951.9041]
date[2002-12-23] sell[106300] price[9.23] cash[980298.4104] benerfit[-7949.7518]
date[2003-01-02] buy[119900] price[8.17] cash[421.5355] value[980004.5355]
date[2003-01-07] sell[119900] price[8.33] cash[997890.1384] benerfit[17591.7280]
date[2003-01-10] buy[111700] price[8.93] cash[109.8941] value[997590.8941]
date[2003-01-13] sell[111700] price[9.10] cash[1015258.4831] benerfit[17368.3447]
date[2003-01-24] buy[105700] price[9.60] cash[234.0671] value[1014954.0671]
date[2003-01-28] sell[105700] price[9.84] cash[1038969.9527] benerfit[23711.4696]
date[2003-02-11] buy[107500] price[9.66] cash[208.4177] value[1038658.4177]
date[2003-02-13] sell[107500] price[9.65] cash[1036234.8302] benerfit[-2735.1225]
date[2003-02-14] buy[106900] price[9.69] cash[63.0719] value[1035924.0719]
date[2003-02-17] sell[106900] price[9.73] cash[1038847.8938] benerfit[2613.0636]
date[2003-02-19] buy[106000] price[9.79] cash[796.5718] value[1038536.5718]
date[2003-02-20] sell[106000] price[9.80] cash[1038246.1318] benerfit[-601.7620]
date[2003-02-25] buy[106300] price[9.76] cash[446.8854] value[1037934.8854]
date[2003-02-26] sell[106300] price[9.81] cash[1041894.2415] benerfit[3648.1097]
date[2003-02-28] buy[103300] price[10.08] cash[317.8623] value[1041581.8623]
date[2003-03-03] sell[103300] price[10.17] cash[1049513.1330] benerfit[7618.8915]
date[2003-03-11] buy[110000] price[9.53] cash[898.6430] value[1049198.6430]
date[2003-03-13] sell[110000] price[9.39] cash[1032455.8730] benerfit[-17057.2600]
date[2003-03-14] buy[109800] price[9.40] cash[26.2370] value[1032146.2370]
date[2003-03-18] sell[109800] price[9.02] cash[989134.7222] benerfit[-43321.1508]
date[2003-03-19] buy[109500] price[9.03] cash[53.0867] value[988838.0867]
date[2003-03-20] sell[109500] price[8.88] cash[971149.0187] benerfit[-17985.7035]
date[2003-03-21] buy[107200] price[9.05] cash[697.9707] value[970857.9707]
date[2003-03-24] sell[107200] price[9.11] cash[976020.4011] benerfit[4871.3824]
date[2003-03-27] buy[106700] price[9.14] cash[489.8297] value[975727.8297]
date[2003-03-28] sell[106700] price[9.09] cash[969131.9558] benerfit[-6888.4453]
date[2003-03-31] buy[105700] price[9.16] cash[629.4922] value[968841.4922]
date[2003-04-01] sell[105700] price[9.20] cash[971805.3202] benerfit[2673.3644]
date[2003-04-10] buy[105500] price[9.20] cash[914.1402] value[971514.1402]
date[2003-04-15] sell[105500] price[9.53] cash[1005022.1007] benerfit[33216.7805]
date[2003-04-24] buy[116000] price[8.66] cash[160.7327] value[1004720.7327]
date[2003-04-29] sell[116000] price[8.24] cash[954758.1407] benerfit[-50263.9600]
date[2003-04-30] buy[114900] price[8.30] cash[802.0397] value[954472.0397]
date[2003-05-12] sell[114900] price[8.17] cash[938314.6868] benerfit[-16443.4539]
date[2003-05-13] buy[121300] price[7.73] cash[384.3921] value[938033.3921]
date[2003-05-16] sell[121300] price[8.24] cash[998597.0265] benerfit[60282.3397]
date[2003-05-19] buy[120100] price[8.31] cash[266.6172] value[998297.6172]
date[2003-05-20] sell[120100] price[8.09] cash[970612.5255] benerfit[-27984.5010]
date[2003-05-23] buy[117600] price[8.25] cash[121.4655] value[970321.4655]
date[2003-05-26] sell[117600] price[8.27] cash[971409.1479] benerfit[796.6224]
date[2003-05-29] buy[114200] price[8.50] cash[417.9379] value[971117.9379]
