date[2002-12-12] buy[112300] price[8.90] cash[230.1590] value[999700.1590]
date[2002-12-13] sell[112300] price[9.06] cash[1016345.4896] benerfit[16345.4896]
date[2002-12-16] buy[111400] price[9.12] cash[72.6992] value[1016040.6992]
date[2002-12-18] sell[111400] price[9.12] cash[1014719.9408] benerfit[-1625.5488]
date[2002-12-20] buy[109100] price[9.29] cash[876.8791] value[1014415.8791]
date[2002-12-23] sell[109100] price[9.23] cash[1006560.7882] benerfit[-8159.1526]
date[2002-12-24] buy[108300] price[9.29] cash[151.9561] value[1006258.9561]
date[2002-12-25] sell[108300] price[9.31] cash[1007114.2012] benerfit[553.4130]
date[2003-01-06] buy[121000] price[8.32] cash[92.1852] value[1006812.1852]
date[2003-01-07] sell[121000] price[8.33] cash[1006711.8762] benerfit[-402.3250]
date[2003-01-10] buy[112600] price[8.93] cash[892.2208] value[1006410.2208]
date[2003-01-13] sell[112600] price[9.10] cash[1024220.1628] benerfit[17508.2866]
date[2003-01-14] buy[107400] price[9.53] cash[391.1062] value[1023913.1062]
date[2003-01-15] sell[107400] price[9.54] cash[1023655.1314] benerfit[-565.0314]
date[2003-01-16] buy[103300] price[9.90] cash[678.3304] value[1023348.3304]
date[2003-01-17] sell[103300] price[9.77] cash[1008607.3171] benerfit[-15047.8143]
date[2003-01-27] buy[102700] price[9.81] cash[818.0710] value[1008305.0710]
date[2003-01-28] sell[102700] price[9.84] cash[1010072.3326] benerfit[1465.0155]
date[2003-01-29] buy[103200] price[9.78] cash[473.5438] value[1009769.5438]
date[2003-02-10] sell[103200] price[9.50] cash[979599.0238] benerfit[-30473.3088]
date[2003-02-12] buy[100200] price[9.77] cash[351.3376] value[979305.3376]
date[2003-02-13] sell[100200] price[9.65] cash[966024.3286] benerfit[-13574.6952]
date[2003-02-14] buy[99600] price[9.69] cash[610.7914] value[965734.7914]
date[2003-02-17] sell[99600] price[9.73] cash[968458.9510] benerfit[2434.6224]
date[2003-02-19] buy[98800] price[9.79] cash[916.7754] value[968168.7754]
date[2003-02-20] sell[98800] price[9.80] cash[967898.0634] benerfit[-560.8876]
date[2003-02-25] buy[99100] price[9.76] cash[391.8986] value[967607.8986]
date[2003-02-27] sell[99100] price[9.80] cash[970309.3646] benerfit[2411.3012]
date[2003-02-28] buy[96200] price[10.08] cash[322.4558] value[970018.4558]
date[2003-03-03] sell[96200] price[10.17] cash[977404.5956] benerfit[7095.2310]
date[2003-03-21] buy[107900] price[9.05] cash[616.6471] value[977111.6471]
date[2003-03-25] sell[107900] price[8.96] cash[966143.8279] benerfit[-11260.7677]
date[2003-03-27] buy[105600] price[9.14] cash[670.2727] value[965854.2727]
date[2003-03-28] sell[105600] price[9.09] cash[959326.3975] benerfit[-6817.4304]
date[2003-03-31] buy[104600] price[9.16] cash[902.9567] value[959038.9567]
date[2003-04-01] sell[104600] price[9.20] cash[961971.9407] benerfit[2645.5432]
date[2003-04-03] buy[104000] price[9.24] cash[723.6527] value[961683.6527]
date[2003-04-04] sell[104000] price[9.29] cash[965627.6447] benerfit[3655.7040]
date[2003-04-09] buy[105100] price[9.18] cash[520.1993] value[965338.1993]
date[2003-04-10] sell[105100] price[9.20] cash[966183.2033] benerfit[555.5586]
date[2003-04-11] buy[104100] price[9.27] cash[886.7012] value[965893.7012]
date[2003-04-15] sell[104100] price[9.53] cash[991670.0063] benerfit[25486.8030]
date[2003-04-30] buy[119400] price[8.30] cash[352.7003] value[991372.7003]
date[2003-05-12] sell[119400] price[8.17] cash[974582.5529] benerfit[-17087.4534]
date[2003-05-14] buy[122500] price[7.95] cash[415.3904] value[974290.3904]
date[2003-05-16] sell[122500] price[8.24] cash[1008503.1704] benerfit[33920.6175]
date[2003-05-19] buy[121300] price[8.31] cash[197.7695] value[1008200.7695]
date[2003-05-20] sell[121300] price[8.09] cash[980239.0574] benerfit[-28264.1130]
date[2003-05-21] buy[120200] price[8.15] cash[315.1684] value[979945.1684]
date[2003-05-22] sell[120200] price[8.18] cash[982272.9616] benerfit[2033.9042]
date[2003-05-23] buy[119000] price[8.25] cash[228.4366] value[981978.4366]
date[2003-05-26] sell[119000] price[8.27] cash[983079.0676] benerfit[806.1060]
date[2003-05-27] buy[117800] price[8.34] cash[332.3320] value[982784.3320]
date[2003-05-28] sell[117800] price[8.28] cash[974448.3328] benerfit[-8630.7348]
date[2003-05-29] buy[114600] price[8.50] cash[56.1028] value[974156.1028]
date[2003-06-02] sell[114600] price[8.69] cash[994635.4666] benerfit[20187.1338]
date[2003-06-11] buy[119700] price[8.30] cash[827.4136] value[994337.4136]
date[2003-06-16] sell[119700] price[8.44] cash[1009782.0652] benerfit[15146.5986]
date[2003-06-26] buy[119600] price[8.44] cash[55.2380] value[1009479.2380]
date[2003-06-27] sell[119600] price[8.26] cash[986666.9732] benerfit[-23115.0920]
date[2003-07-02] buy[119100] price[8.28] cash[223.1288] value[986371.1288]
date[2003-07-07] sell[119100] price[8.39] cash[998173.1051] benerfit[11506.1319]
date[2003-07-08] buy[118200] price[8.44] cash[265.8227] value[997873.8227]
date[2003-07-09] sell[118200] price[8.27] cash[976509.0545] benerfit[-21664.0506]
date[2003-07-10] buy[115800] price[8.43] cash[22.1963] value[976216.1963]
date[2003-07-11] sell[115800] price[8.46] cash[978416.6279] benerfit[1907.5734]
date[2003-07-15] buy[112600] price[8.68] cash[755.4175] value[978123.4175]
date[2003-07-16] sell[112600] price[8.70] cash[979101.9115] benerfit[685.2836]
date[2003-07-24] buy[117700] price[8.31] cash[721.4854] value[978808.4854]
date[2003-07-25] sell[117700] price[8.21] cash[965782.2733] benerfit[-13319.6382]
date[2003-07-28] buy[117100] price[8.24] cash[588.8021] value[965492.8021]
date[2003-07-30] sell[117100] price[8.15] cash[953713.1276] benerfit[-12069.1457]
date[2003-08-04] buy[119000] price[8.01] cash[237.1706] value[953427.1706]
date[2003-08-06] sell[119000] price[7.97] cash[947434.2116] benerfit[-6278.9160]
date[2003-08-07] buy[119200] price[7.94] cash[702.2772] value[947150.2772]
date[2003-08-08] sell[119200] price[7.75] cash[923301.3372] benerfit[-24132.8744]
date[2003-08-12] buy[117500] price[7.85] cash[649.6247] value[923024.6247]
date[2003-08-13] sell[117500] price[7.84] cash[920652.0647] benerfit[-2649.2725]
date[2003-08-14] buy[117600] price[7.82] cash[744.1751] value[920376.1751]
date[2003-08-15] sell[117600] price[7.79] cash[915657.2399] benerfit[-4994.8248]
date[2003-08-19] buy[116900] price[7.83] cash[55.6418] value[915382.6418]
date[2003-08-21] sell[116900] price[7.97] cash[930537.4409] benerfit[14880.2010]
date[2003-09-02] buy[122700] price[7.58] cash[192.4211] value[930258.4211]
date[2003-09-03] sell[122700] price[7.51] cash[920471.5010] benerfit[-10065.9399]
date[2003-09-04] buy[123100] price[7.47] cash[638.6339] value[920195.6339]
date[2003-09-05] sell[123100] price[7.31] cash[899329.8146] benerfit[-21141.6864]
date[2003-09-09] buy[123100] price[7.30] cash[430.2256] value[899060.2256]
